category,name,kind,mlir_name,generated,emitted,lowered,test
expr,OverloadedUnaryMinus,ASR_DIALECT_OP_EXPR_OVERLOADEDUNARYMINUS,asr.overloaded_unary_minus,yes,yes,unsupported,no
expr,PointerAssociated,ASR_DIALECT_OP_EXPR_POINTERASSOCIATED,asr.pointer_associated,yes,yes,unsupported,no
expr,PointerNullConstant,ASR_DIALECT_OP_EXPR_POINTERNULLCONSTANT,asr.pointer_null_constant,yes,yes,unsupported,no
expr,PointerToCPtr,ASR_DIALECT_OP_EXPR_POINTERTOCPTR,asr.pointer_to_c_ptr,yes,yes,unsupported,no
expr,RealBinOp,ASR_DIALECT_OP_EXPR_REALBINOP,asr.real_bin_op,yes,yes,implemented,focus
expr,RealCompare,ASR_DIALECT_OP_EXPR_REALCOMPARE,asr.real_compare,yes,yes,implemented,focus
expr,RealConstant,ASR_DIALECT_OP_EXPR_REALCONSTANT,asr.real_constant,yes,yes,implemented,focus
expr,RealCopySign,ASR_DIALECT_OP_EXPR_REALCOPYSIGN,asr.real_copy_sign,yes,yes,unsupported,no
expr,RealSqrt,ASR_DIALECT_OP_EXPR_REALSQRT,asr.real_sqrt,yes,yes,unsupported,no
expr,RealUnaryMinus,ASR_DIALECT_OP_EXPR_REALUNARYMINUS,asr.real_unary_minus,yes,yes,implemented,focus
expr,SetConstant,ASR_DIALECT_OP_EXPR_SETCONSTANT,asr.set_constant,yes,yes,unsupported,no
expr,SetContains,ASR_DIALECT_OP_EXPR_SETCONTAINS,asr.set_contains,yes,yes,unsupported,no
expr,SetLen,ASR_DIALECT_OP_EXPR_SETLEN,asr.set_len,yes,yes,unsupported,no
expr,SetPop,ASR_DIALECT_OP_EXPR_SETPOP,asr.set_pop,yes,yes,unsupported,no
expr,SizeOfType,ASR_DIALECT_OP_EXPR_SIZEOFTYPE,asr.size_of_type,yes,yes,unsupported,no
expr,StringChr,ASR_DIALECT_OP_EXPR_STRINGCHR,asr.string_chr,yes,yes,unsupported,no
expr,StringCompare,ASR_DIALECT_OP_EXPR_STRINGCOMPARE,asr.string_compare,yes,yes,unsupported,no
expr,StringConcat,ASR_DIALECT_OP_EXPR_STRINGCONCAT,asr.string_concat,yes,yes,unsupported,no
expr,StringConstant,ASR_DIALECT_OP_EXPR_STRINGCONSTANT,asr.string_constant,yes,yes,unsupported,no
expr,StringContains,ASR_DIALECT_OP_EXPR_STRINGCONTAINS,asr.string_contains,yes,yes,unsupported,no
expr,StringFormat,ASR_DIALECT_OP_EXPR_STRINGFORMAT,asr.string_format,yes,yes,unsupported,no
expr,StringItem,ASR_DIALECT_OP_EXPR_STRINGITEM,asr.string_item,yes,yes,unsupported,no
expr,StringLen,ASR_DIALECT_OP_EXPR_STRINGLEN,asr.string_len,yes,yes,unsupported,no
expr,StringOrd,ASR_DIALECT_OP_EXPR_STRINGORD,asr.string_ord,yes,yes,unsupported,no
expr,StringPhysicalCast,ASR_DIALECT_OP_EXPR_STRINGPHYSICALCAST,asr.string_physical_cast,yes,yes,unsupported,no
expr,StringRepeat,ASR_DIALECT_OP_EXPR_STRINGREPEAT,asr.string_repeat,yes,yes,unsupported,no
expr,StringSection,ASR_DIALECT_OP_EXPR_STRINGSECTION,asr.string_section,yes,yes,unsupported,no
expr,StructConstant,ASR_DIALECT_OP_EXPR_STRUCTCONSTANT,asr.struct_constant,yes,yes,unsupported,no
expr,StructConstructor,ASR_DIALECT_OP_EXPR_STRUCTCONSTRUCTOR,asr.struct_constructor,yes,yes,unsupported,no
expr,StructInstanceMember,ASR_DIALECT_OP_EXPR_STRUCTINSTANCEMEMBER,asr.struct_instance_member,yes,yes,unsupported,no
expr,StructStaticMember,ASR_DIALECT_OP_EXPR_STRUCTSTATICMEMBER,asr.struct_static_member,yes,yes,unsupported,no
expr,SymbolicCompare,ASR_DIALECT_OP_EXPR_SYMBOLICCOMPARE,asr.symbolic_compare,yes,yes,unsupported,no
expr,TupleCompare,ASR_DIALECT_OP_EXPR_TUPLECOMPARE,asr.tuple_compare,yes,yes,unsupported,no
expr,TupleConcat,ASR_DIALECT_OP_EXPR_TUPLECONCAT,asr.tuple_concat,yes,yes,unsupported,no
expr,TupleConstant,ASR_DIALECT_OP_EXPR_TUPLECONSTANT,asr.tuple_constant,yes,yes,unsupported,no
expr,TupleContains,ASR_DIALECT_OP_EXPR_TUPLECONTAINS,asr.tuple_contains,yes,yes,unsupported,no
